    E, kcal/mol    D, mol/kcal         W0->W4         W0->W2         W0->W1         W0->W3         W0->P1
            0.3          28297    2.12829e+12    7.98339e+12    5.23634e+12    3.57832e+12    7.61022e+12
           0.35        41133.4    1.98851e+12     8.4889e+12    5.66467e+12    3.75202e+12    7.41216e+12
            0.4        62805.7    1.70768e+12    8.17825e+12    5.53396e+12    3.56705e+12    6.54447e+12
           0.45        91818.3    1.49257e+12    7.92179e+12    5.42427e+12    3.41125e+12    5.82998e+12
            0.5         129062    1.32843e+12    7.72531e+12     5.3382e+12    3.28916e+12    5.26292e+12
           0.55         172524    1.21954e+12    7.71962e+12    5.36778e+12    3.26665e+12    4.88731e+12
            0.6         225950    1.12428e+12     7.6988e+12    5.38683e+12    3.23244e+12    4.54787e+12
           0.65         289823    1.04571e+12    7.69097e+12     5.4096e+12    3.19711e+12    4.25881e+12
            0.7         365737     9.7749e+11    7.68308e+12    5.42405e+12    3.17413e+12     4.0055e+12
           0.75         455602    9.14959e+11      7.662e+12    5.42991e+12    3.15111e+12     3.7732e+12
            0.8         560651    8.57243e+11    7.63834e+12    5.43092e+12    3.12125e+12    3.55965e+12
           0.85         680983    8.06737e+11    7.62731e+12    5.43711e+12    3.09976e+12    3.37239e+12
            0.9         816493    7.64157e+11    7.63792e+12    5.45809e+12    3.09024e+12    3.21451e+12
           0.95         970372     7.2558e+11     7.6467e+12    5.47675e+12    3.08116e+12    3.07204e+12
              1    1.14427e+06    6.90076e+11    7.65166e+12    5.49102e+12    3.07128e+12    2.93991e+12
           1.05    1.34216e+06    6.56118e+11     7.6405e+12    5.49232e+12    3.05465e+12    2.81066e+12
            1.1    1.56141e+06    6.25916e+11    7.63949e+12    5.50078e+12    3.04329e+12    2.69522e+12
           1.15    1.80252e+06    5.99254e+11    7.64952e+12    5.51613e+12    3.03893e+12    2.59401e+12
            1.2    2.06994e+06    5.74596e+11     7.6558e+12    5.52764e+12    3.03228e+12    2.50054e+12
           1.25    2.36355e+06    5.52128e+11    7.66453e+12      5.541e+12    3.02654e+12    2.41458e+12
            1.3    2.69016e+06    5.30423e+11    7.66033e+12    5.54428e+12    3.01718e+12    2.32937e+12
           1.35    3.04482e+06    5.10731e+11    7.66368e+12     5.5523e+12     3.0117e+12     2.2513e+12
            1.4    3.42931e+06    4.92575e+11    7.67213e+12    5.56384e+12    3.00791e+12    2.17974e+12
           1.45    3.84989e+06    4.75038e+11    7.67483e+12    5.57091e+12    3.00229e+12    2.11169e+12
            1.5    4.30471e+06    4.58556e+11    7.67966e+12    5.57898e+12    2.99795e+12    2.04893e+12
           1.55    4.79669e+06    4.42995e+11    7.68428e+12    5.58663e+12    2.99423e+12    1.99011e+12
            1.6    5.32746e+06    4.28371e+11    7.68865e+12    5.59404e+12    2.99062e+12    1.93475e+12
           1.65    5.90116e+06    4.14464e+11    7.68987e+12    5.59871e+12    2.98561e+12    1.88155e+12
            1.7     6.5149e+06    4.01564e+11     7.6943e+12    5.60547e+12    2.98233e+12    1.83162e+12
           1.75    7.17117e+06    3.89503e+11    7.70029e+12    5.61333e+12    2.98035e+12    1.78416e+12
            1.8    7.87385e+06    3.78082e+11    7.70556e+12    5.62037e+12    2.97785e+12    1.73867e+12
           1.85     8.6274e+06    3.67139e+11    7.70776e+12    5.62496e+12    2.97438e+12    1.69493e+12
            1.9    9.43038e+06    3.56805e+11    7.71048e+12    5.62984e+12    2.97142e+12    1.65386e+12
           1.95    1.02837e+07    3.47067e+11    7.71428e+12    5.63539e+12    2.96911e+12    1.61545e+12
              2    1.11905e+07    3.37845e+11    7.71811e+12    5.64072e+12    2.96698e+12    1.57906e+12
           2.05    1.21516e+07    3.29144e+11    7.72267e+12    5.64651e+12     2.9652e+12    1.54447e+12
            2.1    1.31721e+07    3.20855e+11    7.72588e+12    5.65126e+12    2.96294e+12    1.51099e+12
           2.15    1.42532e+07    3.12964e+11    7.72856e+12    5.65541e+12     2.9609e+12    1.47866e+12
            2.2    1.53969e+07    3.05409e+11    7.73075e+12    5.65914e+12    2.95875e+12    1.44743e+12
           2.25    1.66009e+07    2.98221e+11    7.73462e+12    5.66405e+12    2.95714e+12    1.41763e+12
            2.3    1.78704e+07    2.91286e+11    7.73845e+12    5.66879e+12    2.95573e+12    1.38891e+12
           2.35    1.92097e+07    2.84539e+11    7.74134e+12    5.67276e+12    2.95424e+12    1.36119e+12
            2.4      2.062e+07     2.7797e+11    7.74382e+12    5.67637e+12    2.95254e+12    1.33461e+12
           2.45    2.21026e+07    2.71593e+11    7.74621e+12    5.67985e+12     2.9509e+12    1.30928e+12
            2.5    2.36573e+07    2.65457e+11    7.74935e+12    5.68378e+12    2.94964e+12    1.28524e+12
           2.55    2.52921e+07    2.59516e+11    7.75132e+12     5.6868e+12    2.94808e+12    1.26202e+12
            2.6    2.70013e+07    2.53857e+11    7.75454e+12    5.69071e+12    2.94709e+12    1.23987e+12
           2.65     2.8791e+07    2.48424e+11    7.75778e+12    5.69452e+12    2.94611e+12    1.21846e+12
            2.7    3.06694e+07    2.43155e+11     7.7595e+12     5.6972e+12     2.9446e+12    1.19747e+12
           2.75    3.26322e+07    2.38094e+11     7.7615e+12    5.70004e+12    2.94339e+12    1.17714e+12
            2.8     3.4682e+07    2.33228e+11    7.76371e+12    5.70295e+12    2.94228e+12    1.15742e+12
           2.85    3.68174e+07    2.28568e+11    7.76682e+12     5.7065e+12    2.94151e+12    1.13838e+12
            2.9    3.90505e+07    2.24046e+11    7.76878e+12    5.70916e+12     2.9404e+12     1.1197e+12
           2.95    4.13766e+07    2.19695e+11    7.77104e+12      5.712e+12    2.93951e+12    1.10165e+12
              3    4.38021e+07    2.15488e+11    7.77287e+12    5.71448e+12    2.93847e+12    1.08415e+12
           3.05    4.63261e+07    2.11434e+11    7.77488e+12    5.71706e+12    2.93755e+12    1.06732e+12
            3.1    4.89517e+07    2.07521e+11    7.77692e+12    5.71963e+12    2.93667e+12    1.05114e+12
           3.15      5.168e+07    2.03753e+11    7.77926e+12    5.72232e+12    2.93596e+12    1.03559e+12
            3.2    5.45158e+07    2.00129e+11    7.78156e+12    5.72497e+12    2.93529e+12    1.02057e+12
           3.25    5.74659e+07    1.96636e+11    7.78332e+12    5.72718e+12    2.93448e+12    1.00602e+12
            3.3    6.05241e+07    1.93305e+11    7.78583e+12    5.72986e+12    2.93396e+12    9.92136e+11
           3.35    6.36983e+07    1.90111e+11    7.78836e+12    5.73253e+12     2.9335e+12    9.78778e+11
            3.4    6.69943e+07    1.87043e+11    7.79065e+12    5.73501e+12    2.93301e+12    9.65862e+11
           3.45    7.04152e+07    1.84097e+11    7.79273e+12    5.73727e+12    2.93248e+12    9.53354e+11
            3.5    7.39575e+07    1.81286e+11    7.79537e+12     5.7399e+12    2.93217e+12    9.41309e+11
           3.55    7.76283e+07    1.78593e+11    7.79813e+12    5.74261e+12    2.93194e+12    9.29621e+11
            3.6    8.14366e+07    1.75995e+11    7.80044e+12    5.74496e+12    2.93159e+12    9.18198e+11
           3.65    8.53817e+07    1.73495e+11    7.80279e+12    5.74728e+12    2.93129e+12    9.07118e+11
            3.7    8.94644e+07    1.71091e+11    7.80539e+12    5.74978e+12    2.93109e+12    8.96425e+11
           3.75    9.36877e+07    1.68771e+11    7.80827e+12    5.75248e+12    2.93103e+12    8.86123e+11
            3.8    9.80678e+07    1.66508e+11    7.81041e+12    5.75457e+12    2.93073e+12      8.761e+11
           3.85    1.02595e+08    1.64326e+11    7.81296e+12    5.75697e+12    2.93062e+12    8.66498e+11
            3.9    1.07273e+08    1.62211e+11    7.81576e+12    5.75953e+12    2.93059e+12     8.5727e+11
           3.95    1.12115e+08    1.60141e+11     7.8183e+12    5.76187e+12    2.93051e+12    8.48315e+11
              4    1.17123e+08     1.5811e+11    7.82063e+12    5.76405e+12    2.93037e+12    8.39602e+11
           4.05    1.22295e+08    1.56131e+11     7.8232e+12    5.76639e+12    2.93034e+12    8.31164e+11
            4.1    1.27636e+08    1.54206e+11    7.82585e+12    5.76877e+12    2.93037e+12    8.22981e+11
           4.15    1.33158e+08    1.52321e+11    7.82822e+12    5.77092e+12    2.93029e+12    8.14985e+11
            4.2    1.38856e+08    1.50484e+11    7.83078e+12    5.77322e+12    2.93031e+12    8.07189e+11
           4.25    1.44741e+08    1.48686e+11    7.83319e+12    5.77539e+12    2.93031e+12    7.99526e+11
            4.3    1.50812e+08     1.4693e+11    7.83568e+12     5.7776e+12    2.93034e+12     7.9202e+11
           4.35     1.5708e+08     1.4521e+11    7.83795e+12    5.77965e+12     2.9303e+12    7.84645e+11
            4.4    1.63541e+08    1.43532e+11     7.8404e+12    5.78182e+12    2.93035e+12    7.77427e+11
           4.45    1.70201e+08    1.41889e+11     7.8429e+12    5.78401e+12    2.93045e+12    7.70337e+11
            4.5    1.77076e+08    1.40273e+11    7.84501e+12    5.78591e+12    2.93039e+12    7.63317e+11
           4.55    1.84156e+08    1.38693e+11    7.84734e+12    5.78798e+12    2.93044e+12     7.5644e+11
            4.6    1.91451e+08    1.37145e+11    7.84967e+12    5.79001e+12    2.93051e+12    7.49696e+11
           4.65    1.98966e+08    1.35626e+11    7.85196e+12    5.79202e+12    2.93058e+12    7.43095e+11
            4.7     2.0671e+08    1.34134e+11      7.854e+12    5.79385e+12    2.93056e+12    7.36617e+11
           4.75    2.14679e+08    1.32679e+11     7.8562e+12    5.79578e+12    2.93062e+12    7.30294e+11
            4.8    2.22879e+08    1.31257e+11    7.85848e+12    5.79776e+12    2.93072e+12    7.24111e+11
           4.85    2.31323e+08    1.29863e+11     7.8605e+12    5.79956e+12    2.93074e+12    7.18029e+11
            4.9    2.40013e+08    1.28497e+11    7.86247e+12    5.80131e+12    2.93075e+12    7.12055e+11
           4.95    2.48945e+08    1.27161e+11    7.86457e+12    5.80314e+12    2.93081e+12    7.06201e+11
              5    2.58129e+08    1.25851e+11    7.86669e+12      5.805e+12     2.9309e+12    7.00459e+11
           5.05    2.67582e+08    1.24561e+11    7.86848e+12     5.8066e+12    2.93088e+12    6.94803e+11
            5.1    2.77292e+08    1.23297e+11     7.8704e+12    5.80829e+12    2.93092e+12    6.89277e+11
           5.15    2.87267e+08    1.22059e+11    7.87239e+12    5.81003e+12    2.93099e+12    6.83866e+11
            5.2    2.97518e+08    1.20844e+11    7.87426e+12    5.81169e+12    2.93103e+12     6.7854e+11
           5.25    3.08053e+08    1.19653e+11    7.87597e+12    5.81321e+12    2.93102e+12    6.73279e+11
            5.3    3.18867e+08    1.18489e+11    7.87779e+12    5.81481e+12    2.93106e+12    6.68094e+11
           5.35    3.29966e+08     1.1735e+11    7.87962e+12    5.81643e+12    2.93111e+12    6.62972e+11
            5.4    3.41367e+08    1.16232e+11    7.88127e+12     5.8179e+12    2.93111e+12    6.57891e+11
           5.45    3.53063e+08    1.15138e+11    7.88298e+12    5.81942e+12    2.93114e+12    6.52869e+11
            5.5    3.65066e+08    1.14066e+11     7.8846e+12    5.82087e+12    2.93115e+12    6.47912e+11
           5.55    3.77375e+08    1.13016e+11    7.88628e+12    5.82236e+12    2.93118e+12    6.43044e+11
            5.6    3.90009e+08    1.11983e+11    7.88772e+12    5.82367e+12    2.93114e+12    6.38248e+11
           5.65    4.02964e+08    1.10971e+11    7.88915e+12    5.82497e+12     2.9311e+12    6.33544e+11
            5.7    4.16245e+08     1.0998e+11    7.89056e+12    5.82625e+12    2.93107e+12    6.28931e+11
           5.75    4.29868e+08    1.09009e+11    7.89177e+12    5.82737e+12    2.93096e+12    6.24395e+11
            5.8    4.43828e+08    1.08061e+11    7.89299e+12     5.8285e+12    2.93087e+12    6.19946e+11
           5.85    4.58137e+08    1.07133e+11    7.89411e+12    5.82957e+12    2.93077e+12    6.15572e+11
            5.9    4.72803e+08    1.06224e+11    7.89512e+12    5.83053e+12    2.93062e+12    6.11275e+11
           5.95    4.87836e+08    1.05333e+11    7.89595e+12    5.83136e+12    2.93041e+12     6.0705e+11
              6    5.03231e+08    1.04461e+11    7.89683e+12    5.83223e+12    2.93024e+12    6.02914e+11
           6.05    5.18998e+08    1.03607e+11    7.89766e+12    5.83306e+12    2.93007e+12    5.98859e+11
            6.1    5.35156e+08     1.0277e+11    7.89829e+12    5.83373e+12    2.92982e+12     5.9487e+11
           6.15    5.51703e+08    1.01949e+11    7.89886e+12    5.83435e+12    2.92956e+12    5.90959e+11
            6.2    5.68641e+08    1.01144e+11    7.89942e+12    5.83497e+12     2.9293e+12    5.87127e+11
           6.25    5.85981e+08    1.00354e+11    7.89993e+12    5.83554e+12    2.92904e+12    5.83367e+11
            6.3    6.03742e+08    9.95768e+10    7.90025e+12    5.83597e+12    2.92871e+12     5.7967e+11
           6.35    6.21913e+08    9.88159e+10    7.90063e+12    5.83643e+12    2.92841e+12    5.76052e+11
            6.4    6.40505e+08    9.80701e+10    7.90102e+12     5.8369e+12    2.92813e+12    5.72501e+11
           6.45    6.59536e+08    9.73372e+10    7.90129e+12    5.83727e+12    2.92781e+12    5.69004e+11
            6.5    6.79011e+08    9.66172e+10    7.90151e+12     5.8376e+12    2.92746e+12    5.65566e+11
           6.55    6.98929e+08    9.59113e+10    7.90176e+12    5.83796e+12    2.92715e+12    5.62193e+11
            6.6    7.19305e+08    9.52183e+10    7.90198e+12    5.83827e+12    2.92683e+12    5.58877e+11
           6.65    7.40152e+08    9.45369e+10    7.90211e+12    5.83853e+12    2.92648e+12    5.55609e+11
            6.7    7.61469e+08    9.38684e+10    7.90228e+12     5.8388e+12    2.92615e+12     5.5239e+11
           6.75    7.83269e+08    9.32115e+10    7.90241e+12    5.83904e+12    2.92581e+12    5.49205e+11
            6.8    8.05561e+08    9.25655e+10    7.90252e+12    5.83927e+12    2.92547e+12    5.46056e+11
           6.85     8.2836e+08     9.1929e+10    7.90255e+12    5.83943e+12    2.92511e+12    5.42943e+11
            6.9     8.5166e+08    9.13026e+10    7.90265e+12    5.83963e+12    2.92477e+12    5.39882e+11
           6.95    8.75476e+08     9.0685e+10    7.90275e+12    5.83984e+12    2.92444e+12     5.3687e+11
              7    8.99829e+08    9.00753e+10    7.90275e+12    5.83997e+12    2.92408e+12    5.33901e+11
           7.05    9.24717e+08     8.9475e+10    7.90275e+12     5.8401e+12    2.92373e+12    5.30983e+11
            7.1    9.50146e+08    8.88836e+10    7.90279e+12    5.84024e+12    2.92339e+12    5.28113e+11
           7.15    9.76131e+08    8.82993e+10    7.90281e+12    5.84038e+12    2.92305e+12    5.25282e+11
            7.2    1.00269e+09    8.77209e+10    7.90275e+12    5.84045e+12    2.92269e+12    5.22483e+11
           7.25    1.02981e+09    8.71508e+10    7.90276e+12    5.84057e+12    2.92236e+12    5.19727e+11
            7.3    1.05752e+09    8.65882e+10    7.90276e+12    5.84068e+12    2.92202e+12    5.17013e+11
           7.35    1.08583e+09    8.60322e+10     7.9027e+12    5.84075e+12    2.92167e+12    5.14337e+11
            7.4    1.11475e+09    8.54832e+10    7.90262e+12     5.8408e+12    2.92131e+12    5.11697e+11
           7.45    1.14427e+09    8.49419e+10    7.90261e+12     5.8409e+12    2.92099e+12    5.09094e+11
            7.5    1.17441e+09    8.44074e+10    7.90259e+12    5.84099e+12    2.92066e+12    5.06522e+11
           7.55     1.2052e+09    8.38786e+10    7.90248e+12    5.84101e+12     2.9203e+12    5.03976e+11
            7.6    1.23663e+09    8.33562e+10    7.90242e+12    5.84106e+12    2.91997e+12    5.01461e+11
           7.65     1.2687e+09    8.28389e+10    7.90238e+12    5.84114e+12    2.91965e+12    4.98974e+11
            7.7    1.30145e+09    8.23255e+10    7.90229e+12    5.84117e+12    2.91931e+12    4.96509e+11
           7.75    1.33488e+09    8.18166e+10     7.9022e+12     5.8412e+12    2.91898e+12    4.94071e+11
            7.8    1.36898e+09    8.13124e+10    7.90215e+12    5.84126e+12    2.91866e+12    4.91668e+11
           7.85    1.40378e+09    8.08124e+10    7.90209e+12    5.84131e+12    2.91834e+12    4.89304e+11
            7.9     1.4393e+09    8.03172e+10    7.90198e+12    5.84132e+12    2.91801e+12    4.86977e+11
           7.95    1.47554e+09    7.98284e+10    7.90186e+12    5.84132e+12    2.91768e+12    4.84688e+11
              8     1.5125e+09    7.93469e+10    7.90175e+12    5.84134e+12    2.91736e+12    4.82434e+11
           8.05    1.55022e+09    7.88728e+10    7.90163e+12    5.84133e+12    2.91703e+12     4.8021e+11
            8.1    1.58868e+09    7.84059e+10    7.90148e+12    5.84131e+12     2.9167e+12    4.78011e+11
           8.15    1.62791e+09    7.79467e+10    7.90136e+12    5.84131e+12    2.91638e+12    4.75838e+11
            8.2    1.66793e+09    7.74945e+10    7.90121e+12    5.84128e+12    2.91605e+12    4.73688e+11
           8.25    1.70874e+09    7.70494e+10    7.90101e+12    5.84121e+12    2.91571e+12    4.71559e+11
            8.3    1.75035e+09    7.66116e+10    7.90083e+12    5.84116e+12    2.91538e+12    4.69455e+11
           8.35    1.79277e+09     7.6181e+10    7.90068e+12    5.84113e+12    2.91507e+12    4.67375e+11
            8.4    1.83602e+09     7.5757e+10    7.90049e+12    5.84107e+12    2.91474e+12    4.65313e+11
           8.45    1.88013e+09    7.53388e+10    7.90025e+12    5.84097e+12     2.9144e+12    4.63268e+11
            8.5    1.92508e+09    7.49268e+10    7.90006e+12     5.8409e+12    2.91408e+12    4.61243e+11
           8.55    1.97089e+09    7.45197e+10    7.89986e+12    5.84083e+12    2.91375e+12    4.59233e+11
            8.6     2.0176e+09    7.41171e+10    7.89962e+12    5.84072e+12    2.91342e+12    4.57236e+11
           8.65     2.0652e+09    7.37191e+10    7.89936e+12    5.84061e+12    2.91308e+12    4.55252e+11
            8.7    2.11369e+09    7.33259e+10    7.89916e+12    5.84053e+12    2.91277e+12     4.5329e+11
           8.75     2.1631e+09    7.29365e+10    7.89894e+12    5.84044e+12    2.91245e+12    4.51344e+11
            8.8    2.21347e+09    7.25501e+10    7.89863e+12    5.84028e+12     2.9121e+12    4.49411e+11
           8.85    2.26478e+09    7.21683e+10    7.89834e+12    5.84014e+12    2.91177e+12    4.47499e+11
            8.9    2.31705e+09    7.17917e+10    7.89808e+12    5.84001e+12    2.91145e+12    4.45609e+11
           8.95    2.37029e+09    7.14201e+10    7.89779e+12    5.83986e+12    2.91111e+12    4.43739e+11
              9    2.42454e+09    7.10536e+10    7.89747e+12    5.83969e+12    2.91077e+12    4.41884e+11
           9.05    2.47979e+09    7.06923e+10    7.89715e+12    5.83952e+12    2.91044e+12    4.40048e+11
            9.1    2.53606e+09    7.03359e+10    7.89682e+12    5.83934e+12    2.91009e+12     4.3823e+11
           9.15    2.59338e+09    6.99839e+10    7.89646e+12    5.83914e+12    2.90975e+12    4.36434e+11
            9.2    2.65174e+09    6.96364e+10    7.89611e+12    5.83894e+12    2.90941e+12    4.34662e+11
           9.25    2.71117e+09    6.92931e+10    7.89576e+12    5.83874e+12    2.90907e+12    4.32914e+11
            9.3    2.77168e+09     6.8954e+10    7.89539e+12    5.83853e+12    2.90873e+12    4.31189e+11
           9.35    2.83331e+09    6.86183e+10    7.89499e+12    5.83829e+12    2.90837e+12    4.29484e+11
            9.4    2.89604e+09    6.82862e+10    7.89461e+12    5.83806e+12    2.90803e+12    4.27802e+11
           9.45     2.9599e+09    6.79574e+10    7.89423e+12    5.83784e+12    2.90769e+12     4.2614e+11
            9.5    3.02491e+09    6.76316e+10    7.89382e+12    5.83759e+12    2.90734e+12    4.24495e+11
           9.55    3.09109e+09    6.73092e+10    7.89342e+12    5.83735e+12    2.90699e+12    4.22868e+11
            9.6    3.15843e+09    6.69901e+10    7.89305e+12    5.83713e+12    2.90666e+12     4.2126e+11
           9.65    3.22698e+09    6.66737e+10    7.89266e+12    5.83688e+12    2.90632e+12    4.19668e+11
            9.7    3.29675e+09    6.63602e+10    7.89225e+12    5.83663e+12    2.90597e+12    4.18091e+11
           9.75    3.36774e+09    6.60497e+10    7.89187e+12     5.8364e+12    2.90564e+12    4.16531e+11
            9.8    3.43998e+09    6.57423e+10    7.89151e+12    5.83618e+12    2.90532e+12    4.14985e+11
           9.85    3.51349e+09    6.54375e+10    7.89112e+12    5.83594e+12    2.90499e+12    4.13448e+11
            9.9    3.58829e+09    6.51354e+10    7.89072e+12    5.83569e+12    2.90465e+12     4.1192e+11
           9.95    3.66437e+09    6.48363e+10    7.89037e+12    5.83547e+12    2.90434e+12    4.10403e+11
             10    3.74178e+09    6.45397e+10    7.89002e+12    5.83525e+12    2.90402e+12    4.08893e+11
    E, kcal/mol    D, mol/kcal        W1->W5t         W1->W0         W1->W3         W1->P1
             -2              0            ***            ***            ***            ***
          -1.95              0            ***            ***            ***            ***
           -1.9              0            ***            ***            ***            ***
          -1.85              0            ***            ***            ***            ***
           -1.8              0            ***            ***            ***            ***
          -1.75              0            ***            ***            ***            ***
           -1.7              0            ***            ***            ***            ***
          -1.65              0            ***            ***            ***            ***
           -1.6              0            ***            ***            ***            ***
          -1.55              0            ***            ***            ***            ***
           -1.5              0            ***            ***            ***            ***
          -1.45              0            ***            ***            ***            ***
           -1.4              0            ***            ***            ***            ***
          -1.35              0            ***            ***            ***            ***
           -1.3              0            ***            ***            ***            ***
          -1.25              0            ***            ***            ***            ***
           -1.2              0            ***            ***            ***            ***
          -1.15              0            ***            ***            ***            ***
           -1.1              0            ***            ***            ***            ***
          -1.05              0            ***            ***            ***            ***
             -1              0            ***            ***            ***            ***
          -0.95              0            ***            ***            ***            ***
           -0.9              0            ***            ***            ***            ***
          -0.85              0            ***            ***            ***            ***
           -0.8              0            ***            ***            ***            ***
          -0.75              0            ***            ***            ***            ***
           -0.7              0            ***            ***            ***            ***
          -0.65              0            ***            ***            ***            ***
           -0.6              0            ***            ***            ***            ***
          -0.55              0            ***            ***            ***            ***
           -0.5              0            ***            ***            ***            ***
          -0.45              0            ***            ***            ***            ***
           -0.4              0            ***            ***            ***            ***
          -0.35              0            ***            ***            ***            ***
           -0.3              0            ***            ***            ***            ***
          -0.25              0            ***            ***            ***            ***
           -0.2              0            ***            ***            ***            ***
          -0.15              0            ***            ***            ***            ***
           -0.1              0            ***            ***            ***            ***
          -0.05              0            ***            ***            ***            ***
   -6.46322e-16              0            ***            ***            ***            ***
           0.05              0            ***            ***            ***            ***
            0.1              0            ***            ***            ***            ***
           0.15              0            ***            ***            ***            ***
            0.2        3911.02              0    1.18675e+13    5.68584e+12    1.03915e+13
           0.25        9568.03        61.4774    9.10102e+12    4.34263e+12     6.9682e+12
            0.3        12955.2        344.501    1.14373e+13     5.4495e+12    7.74902e+12
           0.35        15624.5        899.352    1.49129e+13    7.18773e+12    9.13175e+12
            0.4        29672.1        1082.57    1.17135e+13    5.68226e+12    6.55164e+12
           0.45        42956.4        1444.87    1.15942e+13    5.61545e+12    5.95959e+12
            0.5        58081.8        1860.45    1.18619e+13    5.74542e+12    5.64339e+12
           0.55        68421.1        2560.81    1.35349e+13    6.57197e+12    5.99232e+12
            0.6        99197.3        2719.53      1.227e+13    5.96332e+12    5.07267e+12
           0.65         128816        3099.66     1.2171e+13    5.91231e+12    4.72511e+12
            0.7         155058        3694.59    1.27937e+13    6.21596e+12     4.6921e+12
           0.75         185461        4321.53     1.3339e+13    6.48315e+12    4.63257e+12
            0.8         239474        4585.63    1.27148e+13    6.18082e+12    4.18598e+12
           0.85         292586        5052.82    1.26547e+13    6.15157e+12    3.95971e+12
            0.9         340930        5750.69    1.30716e+13    6.35292e+12    3.90116e+12
           0.95         407233         6302.1    1.30502e+13    6.34234e+12    3.72652e+12
              1         480425        6913.45    1.30784e+13    6.35684e+12    3.57889e+12
           1.05         566115        7516.79    1.30213e+13    6.32836e+12    3.41627e+12
            1.1         645296         8373.3    1.33101e+13    6.46713e+12     3.3521e+12
           1.15         750637        9066.65     1.3246e+13     6.4357e+12    3.20998e+12
            1.2         862312        9869.01    1.32689e+13    6.44704e+12    3.10151e+12
           1.25         983247        10751.4    1.33196e+13    6.47067e+12    3.00689e+12
            1.3    1.10316e+06        11832.1    1.35203e+13    6.56696e+12     2.9497e+12
           1.35    1.26535e+06        12666.3    1.33605e+13    6.48919e+12    2.81891e+12
            1.4     1.4242e+06          13748    1.33971e+13    6.50656e+12      2.736e+12
           1.45    1.58073e+06        15060.9    1.35681e+13    6.58873e+12    2.68513e+12
            1.5    1.76128e+06        16363.4    1.36355e+13    6.62076e+12     2.6182e+12
           1.55    1.98058e+06        17544.1      1.353e+13    6.56907e+12    2.52358e+12
            1.6    2.20264e+06        18947.2    1.35301e+13    6.56858e+12      2.454e+12
           1.65    2.41734e+06        20661.7    1.36674e+13    6.63472e+12    2.41254e+12
            1.7    2.66657e+06        22341.4    1.36951e+13    6.64748e+12    2.35377e+12
           1.75    2.94006e+06        24093.1    1.36916e+13    6.64518e+12    2.29157e+12
            1.8    3.23839e+06        25930.6    1.36654e+13    6.63205e+12     2.2281e+12
           1.85    3.51929e+06          28207    1.37894e+13    6.69181e+12    2.19178e+12
            1.9    3.85641e+06        30348.6    1.37671e+13    6.68031e+12    2.13523e+12
           1.95    4.20568e+06        32726.2    1.37796e+13    6.68587e+12    2.08751e+12
              2    4.57252e+06        35313.6    1.38047e+13    6.69777e+12    2.04435e+12
           2.05    4.94623e+06        38211.3     1.3872e+13    6.72995e+12    2.00929e+12
            2.1    5.37984e+06        41031.4    1.38367e+13    6.71219e+12    1.96101e+12
           2.15    5.81754e+06        44224.2     1.3856e+13    6.72118e+12    1.92207e+12
            2.2    6.26405e+06        47773.9      1.391e+13    6.74708e+12    1.88909e+12
